Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-7.22287839337554E-05,-0.00215295361631975,0.324863596005363,0,0,0,165.61036422321,32.965361421801,-4.58943188877295E-10,-2.30197800542194E-10,12.6332666224088,-0.000847797837113684,42.003560166963,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,车主体-1;i20-外发模型-1/i20-外发模型.STEP-1/i20-____.STEP-1,global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wl1,0.0290880456704233,0,0,0,0,0,5.35162830148466,0.0785771556064541,2.06571371557815E-35,5.7477857248605E-35,0.040993158685314,3.00703442581003E-34,0.040993158685314,0,0,0,0,0,0,package://robot/meshes/wl1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wl1.STL,,轮子-1,aw1,line1,wl1,continuous,-0.425,0.45,0.169,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
wr1,-0.0290880456704234,0,0,0,0,0,5.35162830148466,0.0785771556064541,-4.77943611846627E-35,5.7477857248605E-35,0.040993158685314,-3.00703442581003E-34,0.040993158685314,0,0,0,0,0,0,package://robot/meshes/wr1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wr1.STL,,轮子-2,aw2,line1,wr1,continuous,0.425,0.45,0.169,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
wl2,0.0290880456704233,5.55111512312578E-17,0,0,0,0,5.35162830148466,0.0785771556064541,2.06571371557815E-35,5.7477857248605E-35,0.040993158685314,3.00703442581003E-34,0.040993158685314,0,0,0,0,0,0,package://robot/meshes/wl2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wl2.STL,,轮子-4,aw3,line2,wl2,continuous,-0.425,-0.45,0.169,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
wr2,-0.0290880456704234,5.55111512312578E-17,0,0,0,0,5.35162830148466,0.0785771556064541,-4.77943611846627E-35,5.7477857248605E-35,0.040993158685314,-3.00703442581003E-34,0.040993158685314,0,0,0,0,0,0,package://robot/meshes/wr2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wr2.STL,,轮子-3,aw4,line2,wr2,continuous,0.425,-0.45,0.169,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
link1,-0.00794920674955624,-1.78415172156048E-05,0.0962050288057547,0,0,0,6.3997963235939,0.0386968105399522,3.18422119967618E-06,0.000278068450970961,0.0403824669357166,1.29129590060104E-05,0.0302124483192918,0,0,0,0,0,0,package://robot/meshes/link1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://robot/meshes/link1.STL,,i20-外发模型-1/i20-外发模型.STEP-1/M40(ID1).STEP-1,arma1,arml1,j1,revolute,-0.005,-0.126,0.536,0,0,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,-0.356587738253141,-5.20041231720329E-06,0.0932252364057431,0,0,0,22.2940088807678,0.0974900452024959,3.08604301056751E-06,0.000327194536900443,0.455754558388555,1.35730362482013E-05,0.434619057566455,0,0,0,0,0,0,package://robot/meshes/link2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://robot/meshes/link2.STL,,i20-外发模型-1/i20-外发模型.STEP-1/M40(ID2).STEP-1;i20-外发模型-1/i20-外发模型.STEP-1/i20-______.STEP-1;i20-外发模型-1/i20-外发模型.STEP-1/M32(ID3).STEP-1,arma2,arml2,j2,revolute,-0.126,0,0.094,3.14159265358979,1.5707963267949,0,link1,0,0,1,0,0,0,0,,,,,,,,
link3,-0.348727151721816,0.000170002642110669,0.0825873081787098,0,0,0,6.4895258475879,0.0096756766183381,-0.00026633857380855,0.00703002672413942,0.258252972810647,1.22132940178923E-05,0.257392693068882,0,0,0,0,0,0,package://robot/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/link3.STL,,i20-外发模型-1/i20-外发模型.STEP-1/i20-______-0.STEP-1;i20-外发模型-1/i20-外发模型.STEP-1/M20(ID4).STEP-1,arma3,arml3,j3,revolute,-0.802999999999999,0,0.0109999999999993,3.14159265358979,0,0,link2,0,0,1,0,0,0,0,,,,,,,,
link4,-0.00242458280433411,-5.44321046245903E-07,0.0661378515123138,0,0,0,1.17082580161785,0.00159368211297859,3.14179162607069E-08,2.49063735370219E-05,0.00261811685549299,-1.56654011954233E-08,0.00252852694287355,0,0,0,0,0,0,package://robot/meshes/link4.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://robot/meshes/link4.STL,,i20-外发模型-1/i20-外发模型.STEP-1/M20(ID5).STEP-1,arma4,arml4,j4,revolute,-0.72,0,0.0298,3.1416,0,0,link3,0,0,-1,0,0,0,0,,,,,,,,
link5,0.00242458409241891,5.44635340153643E-07,0.0656378507065249,0,0,0,1.17082576064318,0.00159368204736647,3.14422586641897E-08,-2.49064085094777E-05,0.00261811675462377,1.56549712758359E-08,0.00252852684795983,0,0,0,0,0,0,package://robot/meshes/link5.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://robot/meshes/link5.STL,,i20-外发模型-1/i20-外发模型.STEP-1/M20(ID6).STEP-1,arma5,arml5,j5,revolute,-0.0577,0,0.0698,3.1416,-1.5708,0,link4,0,0,1,0,0,0,0,,,,,,,,
